5a15715b25991e3d61d27d552f9eba45975d65e7,New formatters for YAxis and XAxis with greater customizeability.,MOVE_RENAME,MOVE_RENAME	{Class DefaultXValueFormatter at MPChartLib/src/com/github/mikephil/charting/utils/DefaultXValueFormatter.java:3}	{Class DefaultXAxisAxisValueFormatter at MPChartLib/src/com/github/mikephil/charting/formatter/DefaultXAxisAxisValueFormatter.java:5}),MPChartLib/src/com/github/mikephil/charting/utils/DefaultXValueFormatter.java:45:463:45:463 ClassDeclaration DefaultXValueFormatter,MPChartLib/src/com/github/mikephil/charting/formatter/DefaultXAxisAxisValueFormatter.java:109:539:109:539 ClassDeclaration DefaultXAxisAxisValueFormatter
5a15715b25991e3d61d27d552f9eba45975d65e7,New formatters for YAxis and XAxis with greater customizeability.,RENAME,RENAME	{Class MyCustomXValueFormatter at MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyCustomXValueFormatter.java:6}	{Class MyCustomXAxisValueFormatter at MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyCustomXAxisValueFormatter.java:6}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyCustomXValueFormatter.java:171:955:171:955 ClassDeclaration MyCustomXValueFormatter,MPChartExample/src/com/xxmassdeveloper/mpchartexample/custom/MyCustomXAxisValueFormatter.java:179:975:179:975 ClassDeclaration MyCustomXAxisValueFormatter
996c79f568f19c42ee39ce65e6344edb5e71091c,Added feature for custom-formatting x-values #848.,RENAME,RENAME	{Class BarLineScatterCandleData at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java:6}	{Class BarLineScatterCandleBubbleData at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleBubbleData.java:6}),MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java:69:746:69:746 ClassDeclaration BarLineScatterCandleData,MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleBubbleData.java:69:805:69:805 ClassDeclaration BarLineScatterCandleBubbleData
996c79f568f19c42ee39ce65e6344edb5e71091c,Added feature for custom-formatting x-values #848.,RENAME,RENAME	{Class BarLineScatterCandleDataSet at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleDataSet.java:8}	{Class BarLineScatterCandleBubbleDataSet at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleBubbleDataSet.java:8}),MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleDataSet.java:101:1005:101:1005 ClassDeclaration BarLineScatterCandleDataSet,MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleBubbleDataSet.java:101:1017:101:1017 ClassDeclaration BarLineScatterCandleBubbleDataSet
0c81966d677139bc3e44f4766db6921c964c3cc8,Did some refactoring concerning SelInfo.,RENAME,RENAME	{Class SelInfo at MPChartLib/src/com/github/mikephil/charting/utils/SelInfo.java:6}	{Class SelectionDetail at MPChartLib/src/com/github/mikephil/charting/utils/SelectionDetail.java:5}),MPChartLib/src/com/github/mikephil/charting/utils/SelInfo.java:97:672:97:672 ClassDeclaration SelInfo,MPChartLib/src/com/github/mikephil/charting/utils/SelectionDetail.java:96:694:96:694 ClassDeclaration SelectionDetail
9bdfbf72a16cc4fc51f45ad8e257a8e2033bd922,"General bugfixes, fixed issues concerning RadarChart labels and offset.",RENAME,RENAME	{Class BarLineScatterCandleRadarDataSet at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarDataSet.java:8}	{Class BarLineScatterCandleDataSet at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleDataSet.java:8}),MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarDataSet.java:106:1025:106:1025 ClassDeclaration BarLineScatterCandleRadarDataSet,MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleDataSet.java:106:1015:106:1015 ClassDeclaration BarLineScatterCandleDataSet
0a5202da009279728c4e2b6f4f0d4b816a249feb,"Massive changes to the architecture, implementing two axis feature.",RENAME,RENAME	{Class LabelBase at MPChartLib/src/com/github/mikephil/charting/utils/LabelBase.java:7}	{Class AxisBase at MPChartLib/src/com/github/mikephil/charting/utils/AxisBase.java:7}),MPChartLib/src/com/github/mikephil/charting/utils/LabelBase.java:112:1818:112:1818 ClassDeclaration LabelBase,MPChartLib/src/com/github/mikephil/charting/utils/AxisBase.java:112:3105:112:3105 ClassDeclaration AxisBase
0a5202da009279728c4e2b6f4f0d4b816a249feb,"Massive changes to the architecture, implementing two axis feature.",RENAME,RENAME	{Class XLabels at MPChartLib/src/com/github/mikephil/charting/utils/XLabels.java:4}	{Class XAxis at MPChartLib/src/com/github/mikephil/charting/utils/XAxis.java:4}),MPChartLib/src/com/github/mikephil/charting/utils/XLabels.java:46:4373:46:4373 ClassDeclaration XLabels,MPChartLib/src/com/github/mikephil/charting/utils/XAxis.java:46:4370:46:4370 ClassDeclaration XAxis
0a5202da009279728c4e2b6f4f0d4b816a249feb,"Massive changes to the architecture, implementing two axis feature.",RENAME,RENAME	{Class YLabels at MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java:4}	{Class YAxis at MPChartLib/src/com/github/mikephil/charting/utils/YAxis.java:6}),MPChartLib/src/com/github/mikephil/charting/utils/YLabels.java:46:5782:46:5782 ClassDeclaration YLabels,MPChartLib/src/com/github/mikephil/charting/utils/YAxis.java:75:7295:75:7295 ClassDeclaration YAxis
7ad2cc5643adcdda0748100f487074d1a3c46178,Minor improvements and changes to the arcitecture.,RENAME,RENAME	{Class LineChartActivity at MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java:34}	{Class LineChartActivity1 at MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity1.java:34}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity.java:1354:13593:1354:13593 ClassDeclaration LineChartActivity,MPChartExample/src/com/xxmassdeveloper/mpchartexample/LineChartActivity1.java:1354:13594:1354:13594 ClassDeclaration LineChartActivity1
c22b47ce59db34160e336c0c2edbd81506ee8811,Worked on RadarChart. Fixed known issues.,RENAME,RENAME	{Class BarLineScatterCandleDataSet at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleDataSet.java:8}	{Class BarLineScatterCandleRadarDataSet at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarDataSet.java:8}),MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleDataSet.java:106:1009:106:1009 ClassDeclaration BarLineScatterCandleDataSet,MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarDataSet.java:106:1019:106:1019 ClassDeclaration BarLineScatterCandleRadarDataSet
c22b47ce59db34160e336c0c2edbd81506ee8811,Worked on RadarChart. Fixed known issues.,RENAME,RENAME	{Class BarLineScatterCandleData at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java:8}	{Class BarLineScatterCandleRadarData at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarData.java:8}),MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java:128:1921:128:1921 ClassDeclaration BarLineScatterCandleData,MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleRadarData.java:128:1936:128:1936 ClassDeclaration BarLineScatterCandleRadarData
c22b47ce59db34160e336c0c2edbd81506ee8811,Worked on RadarChart. Fixed known issues.,RENAME,RENAME	{Class PieChartTouchListener at MPChartLib/src/com/github/mikephil/charting/listener/PieChartTouchListener.java:13}	{Class PieRadarChartTouchListener at MPChartLib/src/com/github/mikephil/charting/listener/PieRadarChartTouchListener.java:14}),MPChartLib/src/com/github/mikephil/charting/listener/PieChartTouchListener.java:356:2717:356:2717 ClassDeclaration PieChartTouchListener,MPChartLib/src/com/github/mikephil/charting/listener/PieRadarChartTouchListener.java:418:2844:418:2844 ClassDeclaration PieRadarChartTouchListener
2762cff79dcdb88ba724377e309fe644f4038d84,Added feature to set the highlight color for each DataSet.,RENAME,RENAME	{Class BarLineScatterData at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterData.java:8}	{Class BarLineScatterCandleData at MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java:8}),MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterData.java:128:1903:128:1903 ClassDeclaration BarLineScatterData,MPChartLib/src/com/github/mikephil/charting/data/BarLineScatterCandleData.java:128:1921:128:1921 ClassDeclaration BarLineScatterCandleData
0a1e0bf9d9a2e52d4cb32b961c93d55e402a57fe,"Improved example, fixed small bug.",RENAME,RENAME	{Class LineChartFrag at MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/LineChartFrag.java:15}	{Class SineCosineFragment at MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SineCosineFragment.java:15}),MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/LineChartFrag.java:450:1812:450:1812 ClassDeclaration LineChartFrag,MPChartExample/src/com/xxmassdeveloper/mpchartexample/fragments/SineCosineFragment.java:450:1853:450:1853 ClassDeclaration SineCosineFragment
